,event,event_size,datetime,actor
67,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/29/7XNN-KPD0-Y9NR-H01D.xml#handEvent,8,29/01/2010,http://dbpedia.org/resource/Cristiano_Ronaldo
68,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/29/7XNN-KPD0-Y9NR-H01D.xml#sendEvent,8,29/01/2010,http://dbpedia.org/resource/Cristiano_Ronaldo
69,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/29/7XNN-KPD0-Y9NR-H01D.xml#showEvent,11,29/01/2010,http://dbpedia.org/resource/Cristiano_Ronaldo
70,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/29/7XNP-83S0-Y958-C0XC.xml#playEvent,17,29/01/2010,http://dbpedia.org/resource/Tsepo_Masilela
71,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/29/7XNP-83S0-Y958-C0XC.xml#getEvent,8,29/01/2010,http://dbpedia.org/resource/Benni_McCarthy
72,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/29/7XNN-KPD0-Y9NR-H0DR.xml#testEvent,8,29/01/2010,http://dbpedia.org/resource/Adrian_Mutu
73,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/29/7XNJ-8XN0-YBVG-60VT.xml#appearanceEvent,8,29/01/2010,http://dbpedia.org/resource/Kyle_Naughton
74,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/29/7XNJ-8XN0-YBVG-60VT.xml#decisionEvent,6,29/01/2010,http://dbpedia.org/resource/Kyle_Naughton
75,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/29/7XNJ-8XN0-YBVG-60VT.xml#ditchEvent,7,29/01/2010,http://dbpedia.org/resource/Kyle_Naughton
76,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/29/7XNJ-8XN0-YBVG-60VT.xml#enjoyEvent,7,29/01/2010,http://dbpedia.org/resource/Kyle_Naughton
77,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNY-KN00-Y9J1-00P5.xml#seekEvent,7,30/01/2010,http://dbpedia.org/resource/Robin_van_Persie
78,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNJ-Y851-2R4D-H3V6.xml#winEvent,15,30/01/2010,http://dbpedia.org/resource/Mohamed_Zidan
79,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNN-YDY1-2RP6-W0BB.xml#makeEvent,68,30/01/2010,http://dbpedia.org/resource/Rio_Ferdinand
80,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNJ-Y851-2R4D-H3V6.xml#riseEvent,13,30/01/2010,http://dbpedia.org/resource/Asamoah_Gyan
81,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNY-KN00-Y9J1-00P5.xml#sayEvent,27,30/01/2010,http://dbpedia.org/resource/Lionel_Messi
82,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNN-V0B0-Y9NR-001D.xml#assaultEvent,7,30/01/2010,http://dbpedia.org/resource/John_Terry
83,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNN-V0B0-Y9NR-001D.xml#attemptEvent,7,30/01/2010,http://dbpedia.org/resource/John_Terry
85,http://news.bbc.co.uk/sport2/hi/football/africa/8485666.stm#topEvent,10,28/01/2010,http://dbpedia.org/resource/Peter_Odemwingie
86,http://news.bbc.co.uk/sport2/hi/football/africa/8485666.stm#wayEvent,24,28/01/2010,http://dbpedia.org/resource/Peter_Odemwingie
87,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/28/7XNG-0410-YB58-K0F0.xml#catchEvent,18,28/01/2010,http://dbpedia.org/resource/Patrick_Mtiliga
88,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/28/7XNG-0410-YB58-K0F0.xml#showEvent,28,28/01/2010,http://dbpedia.org/resource/Patrick_Mtiliga
89,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/28/7XN4-B3R0-YBXP-923B.xml#contractEvent,9,28/01/2010,http://dbpedia.org/resource/Mehdi_Mahdavikia
90,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/28/7XN4-B3R0-YBXP-923B.xml#wingerEvent,6,28/01/2010,http://dbpedia.org/resource/Mehdi_Mahdavikia
91,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/29/7XNN-KPD0-Y9NR-H01D.xml#giveEvent,8,29/01/2010,http://dbpedia.org/resource/Cristiano_Ronaldo
92,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/29/7XNH-0KD1-2SD0-420H.xml#roundEvent,7,29/01/2010,http://dbpedia.org/resource/Frank_Lampard
93,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/29/7XNN-KPD0-Y9NR-H01D.xml#agentEvent,8,29/01/2010,http://dbpedia.org/resource/Adrian_Mutu
94,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/29/7XN9-MYR0-YBXP-90HV.xml#starEvent,7,29/01/2010,http://dbpedia.org/resource/Franck_Rib??ry
95,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/29/7XP5-GNH1-2R4F-70H4.xml#expectEvent,9,29/01/2010,http://dbpedia.org/resource/Didier_Drogba
96,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/29/7XNJ-8XN0-YBVG-60VT.xml#joinEvent,6,29/01/2010,http://dbpedia.org/resource/Kyle_Naughton
97,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/29/7XNJ-8XN0-YBVG-60VT.xml#makeEvent,6,29/01/2010,http://dbpedia.org/resource/Kyle_Naughton
98,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/29/7XNJ-8XN0-YBVG-60VT.xml#regretEvent,7,29/01/2010,http://dbpedia.org/resource/Kyle_Naughton
99,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/29/7XNN-KPD0-Y9NR-H01D.xml#catchEvent,7,29/01/2010,http://dbpedia.org/resource/Patrick_Mtiliga
100,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/29/7XNN-KPD0-Y9NR-H01D.xml#faceEvent,38,29/01/2010,http://dbpedia.org/resource/Patrick_Mtiliga
101,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/29/7XNN-KPD0-Y9NR-H01D.xml#elbowEvent,6,29/01/2010,http://dbpedia.org/resource/Cristiano_Ronaldo
102,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/29/7XNN-KPD0-Y9NR-H01D.xml#speakEvent,9,29/01/2010,http://dbpedia.org/resource/Adrian_Mutu
103,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/29/7XNJ-8XN0-YBVG-60VT.xml#askEvent,8,29/01/2010,http://dbpedia.org/resource/Duncan_Ferguson
104,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/29/7XNP-83S0-Y958-C0XC.xml#playEvent,17,29/01/2010,http://dbpedia.org/resource/Bernard_Parker
106,http://news.bbc.co.uk/sport2/hi/football/africa/8485666.stm#factEvent,10,28/01/2010,http://dbpedia.org/resource/Sulley_Muntari
107,http://news.bbc.co.uk/sport2/hi/football/africa/8485666.stm#playEvent,630,28/01/2010,http://dbpedia.org/resource/Faouzi_Chaouchi
108,http://news.bbc.co.uk/sport2/hi/football/africa/8485666.stm#injureEvent,10,28/01/2010,http://dbpedia.org/resource/John_Mensah
109,http://news.bbc.co.uk/sport2/hi/football/africa/8485666.stm#beginEvent,18,28/01/2010,http://dbpedia.org/resource/Peter_Odemwingie
110,http://news.bbc.co.uk/sport2/hi/football/africa/8485666.stm#bringEvent,108,28/01/2010,http://dbpedia.org/resource/Emad_Moteab
111,http://news.bbc.co.uk/sport2/hi/football/africa/8485666.stm#challengeEvent,16,28/01/2010,http://dbpedia.org/resource/Emad_Moteab
112,http://news.bbc.co.uk/sport2/hi/football/africa/8485666.stm#changeEvent,20,28/01/2010,http://dbpedia.org/resource/Peter_Odemwingie
113,http://news.bbc.co.uk/sport2/hi/football/africa/8485666.stm#contentEvent,16,28/01/2010,http://dbpedia.org/resource/Peter_Odemwingie
114,http://news.bbc.co.uk/sport2/hi/football/africa/8485666.stm#coupleEvent,18,28/01/2010,http://dbpedia.org/resource/Peter_Odemwingie
115,http://news.bbc.co.uk/sport2/hi/football/africa/8485666.stm#feedEvent,30,28/01/2010,http://dbpedia.org/resource/Emad_Moteab
116,http://news.bbc.co.uk/sport2/hi/football/africa/8485666.stm#goEvent,415,28/01/2010,http://dbpedia.org/resource/Peter_Odemwingie
117,http://news.bbc.co.uk/sport2/hi/football/africa/8485666.stm#haveEvent,6696,28/01/2010,http://dbpedia.org/resource/Peter_Odemwingie
118,http://news.bbc.co.uk/sport2/hi/football/africa/8485666.stm#hitEvent,99,28/01/2010,http://dbpedia.org/resource/Peter_Odemwingie
119,http://news.bbc.co.uk/sport2/hi/football/africa/8485666.stm#lookEvent,96,28/01/2010,http://dbpedia.org/resource/Peter_Odemwingie
120,http://news.bbc.co.uk/sport2/hi/football/africa/8485666.stm#luckEvent,16,28/01/2010,http://dbpedia.org/resource/Peter_Odemwingie
121,http://news.bbc.co.uk/sport2/hi/football/africa/8485666.stm#struggleEvent,10,28/01/2010,http://dbpedia.org/resource/Agyemang_Opoku
122,http://news.bbc.co.uk/sport2/hi/football/africa/8485666.stm#substituteEvent,10,28/01/2010,http://dbpedia.org/resource/Agyemang_Opoku
123,http://news.bbc.co.uk/sport2/hi/football/africa/8485666.stm#tellEvent,20,28/01/2010,http://dbpedia.org/resource/Peter_Odemwingie
124,http://news.bbc.co.uk/sport2/hi/football/africa/8485666.stm#topEvent,10,28/01/2010,http://dbpedia.org/resource/Peter_Odemwingie
125,http://news.bbc.co.uk/sport2/hi/football/africa/8485666.stm#wayEvent,24,28/01/2010,http://dbpedia.org/resource/Peter_Odemwingie
127,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/28/7XNG-0410-YB58-K0F0.xml#scoreEvent,28,28/01/2010,http://dbpedia.org/resource/Cristiano_Ronaldo
128,http://news.bbc.co.uk/sport2/hi/football/africa/8485666.stm#breakEvent,30,28/01/2010,http://dbpedia.org/resource/Mohamed_Zidan
129,http://news.bbc.co.uk/sport2/hi/football/africa/8485666.stm#feedEvent,30,28/01/2010,http://dbpedia.org/resource/Mohamed_Zidan
130,http://news.bbc.co.uk/sport2/hi/football/africa/8485666.stm#frontEvent,18,28/01/2010,http://dbpedia.org/resource/Yakubu_Aiyegbeni
131,http://news.bbc.co.uk/sport2/hi/football/africa/8485666.stm#makeEvent,3801,28/01/2010,http://dbpedia.org/resource/Mohamed_Zidan
132,http://news.bbc.co.uk/sport2/hi/football/africa/8485666.stm#slipEvent,10,28/01/2010,http://dbpedia.org/resource/Mohamed_Zidan
133,http://news.bbc.co.uk/sport2/hi/football/africa/8485666.stm#bumEvent,14,28/01/2010,http://dbpedia.org/resource/Obafemi_Martins
134,http://news.bbc.co.uk/sport2/hi/football/africa/8485666.stm#chooseEvent,16,28/01/2010,http://dbpedia.org/resource/Obafemi_Martins
135,http://news.bbc.co.uk/sport2/hi/football/africa/8485666.stm#equaliseEvent,10,28/01/2010,http://dbpedia.org/resource/Obafemi_Martins
136,http://news.bbc.co.uk/sport2/hi/football/africa/8485666.stm#frontEvent,18,28/01/2010,http://dbpedia.org/resource/Obafemi_Martins
137,http://news.bbc.co.uk/sport2/hi/football/africa/8485666.stm#goEvent,415,28/01/2010,http://dbpedia.org/resource/Karim_Matmour
138,http://news.bbc.co.uk/sport2/hi/football/africa/8485666.stm#haveEvent,6696,28/01/2010,http://dbpedia.org/resource/Obafemi_Martins
139,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/28/7XNF-M0K1-2R4F-70VG.xml#turnEvent,16,28/01/2010,http://dbpedia.org/resource/Obafemi_Martins
140,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/28/7XNF-M0K1-2R4F-70VG.xml#beatEvent,10,28/01/2010,http://dbpedia.org/resource/Richard_Kingson
141,http://news.bbc.co.uk/sport2/hi/football/africa/8485666.stm#sliceEvent,20,28/01/2010,http://dbpedia.org/resource/Sani_Kaita
142,http://news.bbc.co.uk/sport2/hi/football/africa/8485666.stm#haveEvent,6696,28/01/2010,http://dbpedia.org/resource/Chinedu_Obasi
143,http://news.bbc.co.uk/sport2/hi/football/africa/8485666.stm#breakEvent,30,28/01/2010,http://dbpedia.org/resource/Asamoah_Gyan
144,http://news.bbc.co.uk/sport2/hi/football/africa/8485666.stm#sayEvent,7032,28/01/2010,http://dbpedia.org/resource/Uli_Hoene??
145,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/28/7XN4-B3R0-YBXP-923B.xml#quoteEvent,8,28/01/2010,http://dbpedia.org/resource/Heribert_Bruchhagen
146,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/28/7XNF-M0K1-2R4F-70NK.xml#joinEvent,6,28/01/2010,http://dbpedia.org/resource/Uli_Hoene??
148,http://news.bbc.co.uk/sport2/hi/football/africa/8485666.stm#headerEvent,10,28/01/2010,http://dbpedia.org/resource/Peter_Odemwingie
149,http://news.bbc.co.uk/sport2/hi/football/africa/8485666.stm#lifelineEvent,10,28/01/2010,http://dbpedia.org/resource/Peter_Odemwingie
150,http://news.bbc.co.uk/sport2/hi/football/africa/8485666.stm#passEvent,30,28/01/2010,http://dbpedia.org/resource/Peter_Odemwingie
151,http://news.bbc.co.uk/sport2/hi/football/africa/8485666.stm#playEvent,630,28/01/2010,http://dbpedia.org/resource/Peter_Odemwingie
